Div,commence,HomeTeam,AwayTeam,collected_at,market,side,book,odds_bet,fair_p,pinnacle_odds,ev_pre
E0,2026-08-22T16:30:00Z,Brentford,Tottenham Hotspur,2026-07-06T19:41,1X2,A,netbet_fr,2.42,0.3628,2.61,-0.1219
E0,2026-08-23T13:00:00Z,Brighton and Hove Albion,Aston Villa,2026-07-06T19:41,1X2,H,unibet_fr,2.1,0.4281,2.23,-0.1009
E0,2026-08-23T13:00:00Z,Brighton and Hove Albion,Aston Villa,2026-07-06T19:41,1X2,D,unibet_fr,3.4,0.2557,3.63,-0.1306
E0,2026-08-23T13:00:00Z,Brighton and Hove Albion,Aston Villa,2026-07-06T19:41,1X2,A,unibet_fr,2.7,0.3162,2.97,-0.1463
E0,2026-08-23T13:00:00Z,Brighton and Hove Albion,Aston Villa,2026-07-06T19:41,1X2,H,winamax_fr,2.05,0.4281,2.23,-0.1223
E0,2026-08-23T13:00:00Z,Brighton and Hove Albion,Aston Villa,2026-07-06T19:41,1X2,D,winamax_fr,3.3,0.2557,3.63,-0.1562
E0,2026-08-23T13:00:00Z,Brighton and Hove Albion,Aston Villa,2026-07-06T19:41,1X2,A,winamax_fr,2.55,0.3162,2.97,-0.1938
E0,2026-08-23T13:00:00Z,Brighton and Hove Albion,Aston Villa,2026-07-06T19:41,1X2,H,netbet_fr,2.07,0.4281,2.23,-0.1138
E0,2026-08-23T13:00:00Z,Brighton and Hove Albion,Aston Villa,2026-07-06T19:41,1X2,D,netbet_fr,3.35,0.2557,3.63,-0.1434
E0,2026-08-23T13:00:00Z,Brighton and Hove Albion,Aston Villa,2026-07-06T19:41,1X2,A,netbet_fr,2.7,0.3162,2.97,-0.1463
E0,2026-08-23T13:00:00Z,Manchester City,Bournemouth,2026-07-06T19:41,1X2,H,unibet_fr,1.37,0.6794,1.43,-0.0693
E0,2026-08-23T13:00:00Z,Manchester City,Bournemouth,2026-07-06T19:41,1X2,D,unibet_fr,4.5,0.1741,5.04,-0.2166
E0,2026-08-23T13:00:00Z,Manchester City,Bournemouth,2026-07-06T19:41,1X2,A,unibet_fr,5.4,0.1466,5.91,-0.2086
E0,2026-08-23T13:00:00Z,Manchester City,Bournemouth,2026-07-06T19:41,1X2,H,winamax_fr,1.34,0.6794,1.43,-0.0897
E0,2026-08-23T13:00:00Z,Manchester City,Bournemouth,2026-07-06T19:41,1X2,D,winamax_fr,4.3,0.1741,5.04,-0.2514
E0,2026-08-23T13:00:00Z,Manchester City,Bournemouth,2026-07-06T19:41,1X2,A,winamax_fr,4.8,0.1466,5.91,-0.2965
E0,2026-08-23T13:00:00Z,Manchester City,Bournemouth,2026-07-06T19:41,1X2,H,netbet_fr,1.32,0.6794,1.43,-0.1032
E0,2026-08-23T13:00:00Z,Manchester City,Bournemouth,2026-07-06T19:41,1X2,D,netbet_fr,4.7,0.1741,5.04,-0.1818
E0,2026-08-23T13:00:00Z,Manchester City,Bournemouth,2026-07-06T19:41,1X2,A,netbet_fr,5.6,0.1466,5.91,-0.1793
E0,2026-08-23T15:30:00Z,Newcastle United,Liverpool,2026-07-06T19:41,1X2,H,unibet_fr,2.7,0.318,2.95,-0.1414
E0,2026-08-23T15:30:00Z,Newcastle United,Liverpool,2026-07-06T19:41,1X2,D,unibet_fr,3.6,0.2439,3.79,-0.122
E0,2026-08-23T15:30:00Z,Newcastle United,Liverpool,2026-07-06T19:41,1X2,A,unibet_fr,2.05,0.4381,2.18,-0.1019
E0,2026-08-23T15:30:00Z,Newcastle United,Liverpool,2026-07-06T19:41,1X2,H,winamax_fr,2.5,0.318,2.95,-0.205
E0,2026-08-23T15:30:00Z,Newcastle United,Liverpool,2026-07-06T19:41,1X2,D,winamax_fr,3.45,0.2439,3.79,-0.1586
E0,2026-08-23T15:30:00Z,Newcastle United,Liverpool,2026-07-06T19:41,1X2,A,winamax_fr,2.0,0.4381,2.18,-0.1238
E0,2026-08-23T15:30:00Z,Newcastle United,Liverpool,2026-07-06T19:41,1X2,H,netbet_fr,2.7,0.318,2.95,-0.1414
E0,2026-08-23T15:30:00Z,Newcastle United,Liverpool,2026-07-06T19:41,1X2,D,netbet_fr,3.55,0.2439,3.79,-0.1342
E0,2026-08-23T15:30:00Z,Newcastle United,Liverpool,2026-07-06T19:41,1X2,A,netbet_fr,2.02,0.4381,2.18,-0.1151
E0,2026-08-24T19:00:00Z,Fulham,Chelsea,2026-07-06T19:41,1X2,H,unibet_fr,2.85,0.3194,2.94,-0.0896
E0,2026-08-24T19:00:00Z,Fulham,Chelsea,2026-07-06T19:41,1X2,D,unibet_fr,3.4,0.2526,3.67,-0.1411
E0,2026-08-24T19:00:00Z,Fulham,Chelsea,2026-07-06T19:41,1X2,A,unibet_fr,2.05,0.428,2.23,-0.1227
E0,2026-08-24T19:00:00Z,Fulham,Chelsea,2026-07-06T19:41,1X2,H,winamax_fr,2.65,0.3194,2.94,-0.1535
E0,2026-08-24T19:00:00Z,Fulham,Chelsea,2026-07-06T19:41,1X2,D,winamax_fr,3.25,0.2526,3.67,-0.179
E0,2026-08-24T19:00:00Z,Fulham,Chelsea,2026-07-06T19:41,1X2,A,winamax_fr,1.98,0.428,2.23,-0.1526
E0,2026-08-24T19:00:00Z,Fulham,Chelsea,2026-07-06T19:41,1X2,H,netbet_fr,2.75,0.3194,2.94,-0.1216
E0,2026-08-24T19:00:00Z,Fulham,Chelsea,2026-07-06T19:41,1X2,D,netbet_fr,3.35,0.2526,3.67,-0.1538
E0,2026-08-24T19:00:00Z,Fulham,Chelsea,2026-07-06T19:41,1X2,A,netbet_fr,2.05,0.428,2.23,-0.1227
TENNIS,2026-07-06T18:06:00Z,Jiri Lehecka,Alexander Zverev,2026-07-06T19:55,h2h,H,unibet_fr,3.55,0.2689,3.52,-0.0454
TENNIS,2026-07-06T18:06:00Z,Jiri Lehecka,Alexander Zverev,2026-07-06T19:55,h2h,A,unibet_fr,1.32,0.7311,1.35,-0.035
TENNIS,2026-07-06T18:06:00Z,Jiri Lehecka,Alexander Zverev,2026-07-06T19:55,h2h,H,betclic_fr,3.5,0.2689,3.52,-0.0588
TENNIS,2026-07-06T18:06:00Z,Jiri Lehecka,Alexander Zverev,2026-07-06T19:55,h2h,A,betclic_fr,1.32,0.7311,1.35,-0.035
TENNIS,2026-07-06T18:06:00Z,Jiri Lehecka,Alexander Zverev,2026-07-06T19:55,h2h,H,winamax_fr,3.4,0.2689,3.52,-0.0857
TENNIS,2026-07-06T18:06:00Z,Jiri Lehecka,Alexander Zverev,2026-07-06T19:55,h2h,A,winamax_fr,1.32,0.7311,1.35,-0.035
TENNIS,2026-07-06T18:06:00Z,Jiri Lehecka,Alexander Zverev,2026-07-06T19:55,h2h,H,pmu_fr,3.3,0.2689,3.52,-0.1126
TENNIS,2026-07-06T18:06:00Z,Jiri Lehecka,Alexander Zverev,2026-07-06T19:55,h2h,A,pmu_fr,1.32,0.7311,1.35,-0.035
TENNIS,2026-07-06T18:06:00Z,Jiri Lehecka,Alexander Zverev,2026-07-06T19:55,h2h,H,netbet_fr,3.45,0.2689,3.52,-0.0723
TENNIS,2026-07-06T18:06:00Z,Jiri Lehecka,Alexander Zverev,2026-07-06T19:55,h2h,A,netbet_fr,1.29,0.7311,1.35,-0.0569
TENNIS,2026-07-07T12:00:00Z,Jannik Sinner,Jan-Lennard Struff,2026-07-06T19:55,h2h,H,betclic_fr,1.03,0.9562,1.04,-0.0151
TENNIS,2026-07-07T12:00:00Z,Jannik Sinner,Jan-Lennard Struff,2026-07-06T19:55,h2h,A,betclic_fr,11.0,0.0438,15.51,-0.5185
TENNIS,2026-07-07T12:00:00Z,Jannik Sinner,Jan-Lennard Struff,2026-07-06T19:55,h2h,H,unibet_fr,1.03,0.9562,1.04,-0.0151
TENNIS,2026-07-07T12:00:00Z,Jannik Sinner,Jan-Lennard Struff,2026-07-06T19:55,h2h,A,unibet_fr,11.0,0.0438,15.51,-0.5185
TENNIS,2026-07-07T12:00:00Z,Jannik Sinner,Jan-Lennard Struff,2026-07-06T19:55,h2h,H,winamax_fr,1.03,0.9562,1.04,-0.0151
TENNIS,2026-07-07T12:00:00Z,Jannik Sinner,Jan-Lennard Struff,2026-07-06T19:55,h2h,A,winamax_fr,12.0,0.0438,15.51,-0.4747
TENNIS,2026-07-07T12:00:00Z,Jannik Sinner,Jan-Lennard Struff,2026-07-06T19:55,h2h,H,netbet_fr,1.01,0.9562,1.04,-0.0342
TENNIS,2026-07-07T12:00:00Z,Jannik Sinner,Jan-Lennard Struff,2026-07-06T19:55,h2h,A,netbet_fr,13.0,0.0438,15.51,-0.4309
TENNIS,2026-07-07T12:00:00Z,Jannik Sinner,Jan-Lennard Struff,2026-07-06T19:55,h2h,H,pmu_fr,1.02,0.9562,1.04,-0.0246
TENNIS,2026-07-07T12:00:00Z,Jannik Sinner,Jan-Lennard Struff,2026-07-06T19:55,h2h,A,pmu_fr,12.0,0.0438,15.51,-0.4747
TENNIS,2026-07-07T14:30:00Z,Felix Auger-Aliassime,Novak Djokovic,2026-07-06T19:55,h2h,H,betclic_fr,2.4,0.3825,2.52,-0.0819
TENNIS,2026-07-07T14:30:00Z,Felix Auger-Aliassime,Novak Djokovic,2026-07-06T19:55,h2h,A,betclic_fr,1.56,0.6175,1.59,-0.0368
TENNIS,2026-07-07T14:30:00Z,Felix Auger-Aliassime,Novak Djokovic,2026-07-06T19:55,h2h,H,unibet_fr,2.4,0.3825,2.52,-0.0819
TENNIS,2026-07-07T14:30:00Z,Felix Auger-Aliassime,Novak Djokovic,2026-07-06T19:55,h2h,A,unibet_fr,1.56,0.6175,1.59,-0.0368
TENNIS,2026-07-07T14:30:00Z,Felix Auger-Aliassime,Novak Djokovic,2026-07-06T19:55,h2h,H,winamax_fr,2.4,0.3825,2.52,-0.0819
TENNIS,2026-07-07T14:30:00Z,Felix Auger-Aliassime,Novak Djokovic,2026-07-06T19:55,h2h,A,winamax_fr,1.56,0.6175,1.59,-0.0368
TENNIS,2026-07-07T14:30:00Z,Felix Auger-Aliassime,Novak Djokovic,2026-07-06T19:55,h2h,H,netbet_fr,2.4,0.3825,2.52,-0.0819
TENNIS,2026-07-07T14:30:00Z,Felix Auger-Aliassime,Novak Djokovic,2026-07-06T19:55,h2h,A,netbet_fr,1.55,0.6175,1.59,-0.0429
TENNIS,2026-07-07T14:30:00Z,Felix Auger-Aliassime,Novak Djokovic,2026-07-06T19:55,h2h,H,pmu_fr,2.48,0.3825,2.52,-0.0513
TENNIS,2026-07-07T14:30:00Z,Felix Auger-Aliassime,Novak Djokovic,2026-07-06T19:55,h2h,A,pmu_fr,1.54,0.6175,1.59,-0.0491
MLB,2026-07-06T18:11:00Z,Kansas City Royals,Philadelphia Phillies,2026-07-06T19:55,h2h,H,unibet_fr,2.9,0.3377,2.86,-0.0207
MLB,2026-07-06T18:11:00Z,Kansas City Royals,Philadelphia Phillies,2026-07-06T19:55,h2h,A,unibet_fr,1.42,0.6623,1.49,-0.0595
MLB,2026-07-06T18:11:00Z,Kansas City Royals,Philadelphia Phillies,2026-07-06T19:55,h2h,H,betclic_fr,2.75,0.3377,2.86,-0.0714
MLB,2026-07-06T18:11:00Z,Kansas City Royals,Philadelphia Phillies,2026-07-06T19:55,h2h,A,betclic_fr,1.39,0.6623,1.49,-0.0794
MLB,2026-07-06T18:11:00Z,Kansas City Royals,Philadelphia Phillies,2026-07-06T19:55,h2h,H,winamax_fr,2.8,0.3377,2.86,-0.0545
